,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_vaccinations,people_fully_vaccinated,population
68,Europe,,59007830.0,78914.123,1222260.0,1634.589,790828854.0,386901415.0,747747396.0
69,European Union,,37747845.0,84411.217,769510.0,1720.768,559270665.0,278260117.0,447189915.0
70,Faeroe Islands,Europe,,,,,73959.0,35998.0,49053.0
71,Falkland Islands,South America,,,,,4407.0,1775.0,3528.0
72,Fiji,Oceania,50807.0,56270.967,592.0,655.666,975268.0,387320.0,902899.0
73,Finland,Europe,139678.0,25174.642,1069.0,192.67,7523495.0,3397201.0,5548361.0
74,France,Europe,7087110.0,104894.377,117581.0,1740.284,93817818.0,43892734.0,67564251.0
75,French Polynesia,Oceania,,,,,282180.0,131903.0,282534.0
76,Gabon,Africa,29515.0,12951.827,183.0,80.304,177392.0,76508.0,2278829.0
77,Gambia,Africa,9930.0,3992.864,335.0,134.704,201835.0,165785.0,2486937.0
78,Georgia,Asia,607155.0,152560.209,8844.0,2222.237,1749457.0,777621.0,3979773.0
79,Germany,Europe,4209098.0,50167.752,93509.0,1114.523,107030469.0,53244325.0,83900471.0
80,Ghana,Africa,127016.0,4002.757,1150.0,36.241,1623582.0,758160.0,31732128.0
81,Gibraltar,Europe,,,,,79502.0,39575.0,33691.0
82,Greece,Europe,648091.0,62492.22,14727.0,1420.052,12041797.0,6056118.0,10370747.0
83,Greenland,North America,,,,,77822.0,36626.0,56868.0
84,Grenada,North America,5005.0,44286.157,130.0,1150.29,51610.0,20827.0,113015.0
85,Guatemala,North America,550333.0,30155.451,13394.0,733.923,6653056.0,2283385.0,18249868.0
86,Guernsey,Europe,,,,,101759.0,13618.0,67052.0
87,Guinea,Africa,30364.0,2249.646,378.0,28.006,1699898.0,535893.0,13497237.0
88,Guinea-Bissau,Africa,6099.0,3026.063,135.0,66.981,94715.0,7484.0,2015490.0
89,Guyana,South America,31236.0,39522.781,772.0,976.808,533843.0,181862.0,790329.0
90,Haiti,North America,21540.0,1866.279,610.0,52.852,61545.0,18987.0,11541683.0
91,Honduras,North America,363106.0,36083.297,9681.0,962.04,5196072.0,1988868.0,10062994.0
92,Hong Kong,Asia,12196.0,1614.765,213.0,28.201,8574118.0,4116748.0,7552800.0
93,Hungary,Europe,821261.0,85244.674,30171.0,3131.668,9249943.0,5630587.0,9634162.0
94,Iceland,Europe,11722.0,34139.096,33.0,96.109,551110.0,275493.0,343360.0
95,India,Asia,33678786.0,24170.064,447194.0,320.935,855791746.0,224190090.0,1393409033.0
96,Indonesia,Asia,4209403.0,15231.494,141585.0,512.318,134207308.0,48262870.0,276361788.0
97,International,,721.0,,15.0,,,,
98,Iran,Asia,5547990.0,65248.394,119649.0,1407.159,43372270.0,13961491.0,85028760.0
99,Iraq,Asia,1996214.0,48476.092,22142.0,537.697,7448300.0,2486604.0,41179351.0
100,Ireland,Europe,385721.0,77408.876,5209.0,1045.374,7195154.0,3664755.0,4982904.0
101,Isle of Man,Europe,,,,,129302.0,63841.0,85410.0
102,Israel,Asia,1270230.0,144512.215,7684.0,874.197,14932268.0,5617090.0,8789776.0
103,Italy,Europe,4662087.0,77228.463,130742.0,2165.769,83986620.0,40538643.0,60367471.0
104,Jamaica,North America,83030.0,27923.68,1841.0,619.144,715860.0,220722.0,2973462.0
105,Japan,Asia,1696971.0,13462.596,17524.0,139.023,159494782.0,72493929.0,126050796.0
106,Jersey,Europe,,,,,150891.0,73893.0,101073.0
107,Jordan,Asia,820798.0,79929.52,10697.0,1041.677,6920178.0,3242480.0,10269022.0
108,Kazakhstan,Asia,956025.0,50330.461,15865.0,835.222,13901899.0,6393799.0,18994958.0
109,Kenya,Africa,248515.0,4519.629,5109.0,92.915,3613357.0,889083.0,54985702.0
110,Kiribati,Oceania,2.0,16.476,,,31332.0,6903.0,121388.0
111,Kosovo,Europe,159893.0,82727.21,2939.0,1520.612,1274156.0,503498.0,1932774.0
112,Kuwait,Asia,411533.0,95074.035,2447.0,565.316,2375455.0,923307.0,4328553.0
113,Kyrgyzstan,Asia,178317.0,26902.182,2602.0,392.556,1411946.0,598510.0,6628347.0
114,Laos,Asia,22441.0,3041.05,16.0,2.168,4402770.0,1909360.0,7379358.0
115,Latvia,Europe,155076.0,83064.533,2689.0,1440.329,1616636.0,830904.0,1866934.0
116,Lebanon,Asia,622440.0,91952.447,8296.0,1225.56,2816322.0,1262697.0,6769151.0
117,Lesotho,Africa,14395.0,6667.232,403.0,186.655,332954.0,238727.0,2159067.0
118,Liberia,Africa,5915.0,1141.846,283.0,54.631,113680.0,27392.0,5180208.0
119,Libya,Africa,337890.0,48557.614,4617.0,663.501,1501622.0,166952.0,6958538.0
120,Liechtenstein,Europe,3445.0,90055.942,60.0,1568.463,46714.0,22855.0,38254.0
121,Lithuania,Europe,326654.0,121438.944,4930.0,1832.808,3339375.0,1618887.0,2689862.0
122,Luxembourg,Europe,77930.0,122760.368,835.0,1315.346,777789.0,399522.0,634814.0
123,Macao,Asia,,,,,649564.0,303260.0,658391.0
124,Madagascar,Africa,42898.0,1509.041,958.0,33.7,381633.0,184632.0,28427333.0
125,Malawi,Africa,61517.0,3131.006,2278.0,115.942,1030077.0,489199.0,19647681.0
126,Malaysia,Asia,2209194.0,67402.394,25695.0,783.953,42375862.0,19633681.0,32776195.0
127,Maldives,Asia,84484.0,155410.029,231.0,424.929,727664.0,335926.0,543620.0
128,Mali,Africa,15165.0,727.139,547.0,26.228,397853.0,86477.0,20855724.0
129,Malta,Europe,37103.0,72105.705,457.0,888.131,816767.0,420111.0,514564.0
130,Marshall Islands,Oceania,4.0,67.094,,,,,59618.0
131,Mauritania,Africa,35889.0,7515.848,772.0,161.672,333089.0,21545.0,4775110.0
132,Mauritius,Africa,15391.0,12086.274,79.0,62.037,1633952.0,787794.0,1273428.0
133,Mexico,North America,3635807.0,27911.447,275676.0,2116.316,99186517.0,44511000.0,130262220.0
134,Micronesia (country),Oceania,1.0,8.602,,,,,116255.0
135,Moldova,Europe,290043.0,72077.833,6713.0,1668.23,1383749.0,770910.0,4024025.0
136,Monaco,Europe,3303.0,83577.935,33.0,835.02,49980.0,23308.0,39520.0
137,Mongolia,Asia,298919.0,89784.824,1242.0,373.053,4376793.0,2126575.0,3329282.0
138,Montenegro,Europe,129990.0,206973.637,1906.0,3034.785,446806.0,209009.0,628051.0
139,Montserrat,North America,,,,,2856.0,1384.0,4981.0
140,Morocco,Africa,929699.0,24895.014,14199.0,380.214,39523919.0,17943587.0,37344787.0
141,Mozambique,Africa,150540.0,4680.527,1910.0,59.385,3644423.0,1740693.0,32163045.0
142,Myanmar,Asia,459436.0,8382.949,17583.0,320.822,9001616.0,3471251.0,54806014.0
143,Namibia,Africa,127373.0,49229.248,3494.0,1350.42,407502.0,159233.0,2587344.0
144,Nauru,Oceania,,,,,14863.0,7251.0,10873.0
145,Nepal,Asia,792367.0,26701.572,11103.0,374.154,12645634.0,6036401.0,29674920.0
146,Netherlands,Europe,2035980.0,118556.388,18566.0,1081.11,22272373.0,10962160.0,17173094.0
147,New Caledonia,Oceania,,,,,206784.0,79462.0,288217.0
148,New Zealand,Oceania,4205.0,865.112,27.0,5.555,5045901.0,1806110.0,4860642.0
149,Nicaragua,North America,13730.0,2048.526,203.0,30.288,788502.0,286178.0,6702379.0
150,Niger,Africa,5990.0,238.353,201.0,7.998,621853.0,87492.0,25130810.0
151,Nigeria,Africa,204752.0,968.549,2690.0,12.725,6255025.0,1780853.0,211400704.0
152,Niue,Oceania,,,,,2352.0,1150.0,1614.0
153,North America,,51845757.0,86904.766,1050476.0,1760.826,611004804.0,278354305.0,596581283.0
154,North Macedonia,Europe,189999.0,91228.961,6607.0,3172.384,1495762.0,714135.0,2082661.0
155,Northern Cyprus,Asia,,,,,302854.0,142493.0,
156,Norway,Europe,187593.0,34322.308,850.0,155.517,7747721.0,3614430.0,5465629.0
157,Oceania,,175485.0,4060.277,2103.0,48.658,33796923.0,13231242.0,43219954.0
158,Oman,Asia,303673.0,58137.304,4095.0,783.976,4636486.0,1826224.0,5223376.0
159,Pakistan,Asia,1241825.0,5514.322,27638.0,122.727,76141484.0,25493964.0,225199929.0
160,Palau,Oceania,5.0,275.118,,,,,18174.0
161,Palestine,Asia,398946.0,76386.107,4046.0,774.687,2001407.0,654315.0,5222756.0
162,Panama,North America,466357.0,106435.733,7216.0,1646.893,5127756.0,2211232.0,4381583.0
163,Papua New Guinea,Oceania,19523.0,2140.913,227.0,24.893,154710.0,40291.0,9119005.0
164,Paraguay,South America,459828.0,63691.256,16189.0,2242.355,4488153.0,1866306.0,7219641.0
165,Peru,South America,2173354.0,65149.644,199314.0,5974.745,25196478.0,9993674.0,33359415.0
166,Philippines,Asia,2490858.0,22430.683,37405.0,336.84,43933886.0,20307122.0,111046910.0
167,Pitcairn,Oceania,,,,,94.0,47.0,47.0
168,Poland,Europe,2903655.0,76822.367,75572.0,1999.418,37147012.0,19374121.0,37797000.0
169,Portugal,Europe,1067175.0,104955.063,17955.0,1765.847,15944324.0,8630748.0,10167923.0
170,Qatar,Asia,236388.0,80664.072,605.0,206.448,4696753.0,2218292.0,2930524.0
171,Romania,Europe,1199761.0,62723.51,36450.0,1905.606,10054036.0,5326689.0,19127772.0
172,Russia,Europe,7334843.0,50268.942,201015.0,1377.645,89301130.0,41706138.0,145912022.0
173,Rwanda,Africa,96982.0,7304.777,1258.0,94.754,3409470.0,1440597.0,13276517.0
174,Saint Helena,Africa,,,,,7892.0,3531.0,6095.0
175,Saint Kitts and Nevis,North America,1872.0,34960.595,11.0,205.431,47098.0,21920.0,53546.0
176,Saint Lucia,North America,11231.0,60905.31,186.0,1008.671,75827.0,30955.0,184401.0
177,Saint Vincent and the Grenadines,North America,3359.0,30188.103,18.0,161.77,33077.0,13093.0,111269.0
178,Samoa,Oceania,3.0,14.989,,,149431.0,50268.0,200144.0
179,San Marino,Europe,5428.0,159600.118,91.0,2675.684,47084.0,24422.0,34010.0
180,Sao Tome and Principe,Africa,3349.0,14993.464,49.0,219.373,73223.0,18187.0,223364.0
181,Saudi Arabia,Asia,546985.0,15477.489,8704.0,246.288,41641404.0,18373524.0,35340680.0
182,Senegal,Africa,73747.0,4288.537,1855.0,107.872,1784832.0,564998.0,17196308.0
183,Serbia,Europe,917802.0,134879.72,8097.0,1189.931,6409263.0,2884386.0,6804596.0
184,Seychelles,Africa,21374.0,216095.44,110.0,1112.122,148402.0,71091.0,98910.0
185,Sierra Leone,Africa,6393.0,785.251,121.0,14.862,221110.0,40045.0,8141343.0
186,Singapore,Asia,89539.0,15184.636,80.0,13.567,9286999.0,4514966.0,5896684.0
187,Sint Maarten (Dutch part),North America,,,,,49159.0,23487.0,43421.0
188,Slovakia,Europe,408609.0,74826.864,12596.0,2306.653,4685790.0,2246372.0,5460726.0
189,Slovenia,Europe,289955.0,139487.079,4544.0,2185.957,2104272.0,988856.0,2078723.0
190,Solomon Islands,Oceania,20.0,28.409,,,97744.0,23171.0,703995.0
191,Somalia,Africa,19980.0,1221.309,1111.0,67.912,430762.0,181599.0,16359500.0
192,South Africa,Africa,2897521.0,48258.239,87216.0,1452.583,16827790.0,8391620.0,60041996.0
193,South America,,37688012.0,86786.718,1152285.0,2653.444,431263964.0,171877448.0,434260138.0
194,South Korea,Asia,305842.0,5961.23,2464.0,48.026,59902869.0,23237917.0,51305184.0
195,South Sudan,Africa,11954.0,1050.312,128.0,11.246,100621.0,28448.0,11381377.0
196,Spain,Europe,4951640.0,105928.284,86298.0,1846.136,69740837.0,36335711.0,46745211.0
197,Sri Lanka,Asia,514592.0,23937.511,12731.0,592.214,25961797.0,11593990.0,21497306.0
198,Sudan,Africa,38201.0,850.625,2900.0,64.575,1499982.0,581846.0,44909351.0
199,Suriname,South America,40476.0,68394.959,861.0,1454.888,391985.0,167339.0,591798.0
